x,area,y
0.019191185,1e-04,-0.0009684935
0.1935712,1e-04,-0.0012043118
0.16208619,1e-04,-0.0011473596
0.11522416,1e-04,-0.0010483861
0.08326141,1e-04,-0.0011048764
0.058540467,1e-04,-0.0011785179
0.1934134,1e-04,-0.0012041628
0.22809178,1e-04,-0.0012282431
0.12693262,1e-04,-0.0010628253
0.08686011,1e-04,-0.001091376
0.11636403,1e-04,-0.0010491312
0.24851984,1e-04,-0.001235038
0.10067576,1e-04,-0.0010549724
0.026323222,1e-04,-0.00085747987
0.10370673,1e-04,-0.0010509789
0.12671047,1e-04,-0.001062423
0.17498295,1e-04,-0.0011753738
0.20017041,1e-04,-0.0012113452
0.14531504,1e-04,-0.0011049509
0.17141588,1e-04,-0.001168251
0.049943037,1e-04,-0.0011516362
0.028759765,1e-04,-0.00087860227
0.22879325,1e-04,-0.0012285113
0.19233912,1e-04,-0.0012028217
0.014275825,1e-04,-0.0014132597
0.180328,1e-04,-0.0011850893
0.083399996,1e-04,-0.00110434
0.010644303,1e-04,-0.0021984652
0.033109087,1e-04,-0.0009413883
0.2343444,1e-04,-0.0012303889
0.012812261,1e-04,-0.0016642958
0.03211173,1e-04,-0.0009255186
0.05814982,1e-04,-0.0011782795
0.0040525296,1e-04,-0.006393999
0.038576253,1e-04,-0.0010288581
0.1622733,1e-04,-0.0011478662
0.11877238,1e-04,-0.0010512024
0.023740001,1e-04,-0.000858061
0.13524108,1e-04,-0.001080066
0.005774191,1e-04,-0.0046795197
0.11469225,1e-04,-0.001048103
0.02656088,1e-04,-0.0008588061
0.021848612,1e-04,-0.00088220835
0.0006595387,1e-04,-0.014107693
0.16737513,1e-04,-0.0011595786
0.0708271,1e-04,-0.0011544228
0.08300964,1e-04,-0.0011058599
0.23015147,1e-04,-0.001229018
0.12754132,1e-04,-0.0010639429
0.081440434,1e-04,-0.0011121035
0.09305717,1e-04,-0.001071617
0.19344012,1e-04,-0.0012041032
0.22070572,1e-04,-0.0012252629
0.069282815,1e-04,-0.0011597723
0.08887191,1e-04,-0.0010844171
0.0037914752,1e-04,-0.00672346
0.22493885,1e-04,-0.001227051
0.2176491,1e-04,-0.0012237728
0.074292116,1e-04,-0.0011412054
0.034196515,1e-04,-0.00095905364
0.13188086,1e-04,-0.0010726154
0.14005654,1e-04,-0.0010916293
0.045058846,1e-04,-0.0011116862
0.2092182,1e-04,-0.0012187958
0.24907492,1e-04,-0.001235187
0.19260448,1e-04,-0.0012031794
0.15302749,1e-04,-0.0011248589
0.23959032,1e-04,-0.0012320876
0.19725047,1e-04,-0.0012084246
0.24633916,1e-04,-0.001234293
0.053960856,1e-04,-0.001170367
0.2341523,1e-04,-0.0012303591
0.14436106,1e-04,-0.0011025071
0.042191178,1e-04,-0.0010790005
0.17460243,1e-04,-0.0011746287
0.018589096,1e-04,-0.0009994656
0.13783279,1e-04,-0.0010861903
0.13280407,1e-04,-0.0010746121
0.21928921,1e-04,-0.0012246072
0.093581416,1e-04,-0.0010702014
0.2305178,1e-04,-0.0012291372
0.14597712,1e-04,-0.0011066496
0.063069776,1e-04,-0.0011756718
0.2117285,1e-04,-0.0012204051
0.20112957,1e-04,-0.0012122393
