x,area,y
0.019191185,1e-04,-0.073169604
0.1935712,1e-04,-0.30089092
0.16208619,1e-04,-0.2726873
0.11522416,1e-04,-0.22399443
0.08326141,1e-04,-0.18445048
0.058540467,1e-04,-0.14858647
0.1934134,1e-04,-0.30075708
0.22809178,1e-04,-0.32855847
0.12693262,1e-04,-0.23705025
0.08686011,1e-04,-0.18923563
0.11636403,1e-04,-0.22529525
0.24851984,1e-04,-0.34355244
0.10067576,1e-04,-0.20677489
0.026323222,1e-04,-0.08967305
0.10370673,1e-04,-0.21046117
0.12671047,1e-04,-0.23680863
0.17498295,1e-04,-0.28461865
0.20017041,1e-04,-0.3064248
0.14531504,1e-04,-0.25629684
0.17141588,1e-04,-0.28137365
0.049943037,1e-04,-0.13458338
0.028759765,1e-04,-0.09490134
0.22879325,1e-04,-0.3290894
0.19233912,1e-04,-0.2998441
0.014275825,1e-04,-0.060401518
0.180328,1e-04,-0.28940535
0.083399996,1e-04,-0.18463655
0.010644303,1e-04,-0.04988662
0.033109087,1e-04,-0.103820644
0.2343444,1e-04,-0.33324987
0.012812261,1e-04,-0.05629716
0.03211173,1e-04,-0.10181842
0.05814982,1e-04,-0.14797027
0.0040525296,1e-04,-0.026458427
0.038576253,1e-04,-0.11439429
0.1622733,1e-04,-0.2728644
0.11877238,1e-04,-0.22802193
0.023740001,1e-04,-0.08392055
0.13524108,1e-04,-0.24592753
0.005774191,1e-04,-0.033408124
0.11469225,1e-04,-0.22338514
0.02656088,1e-04,-0.09019107
0.021848612,1e-04,-0.07955487
0.0006595387,1e-04,-0.007945079
0.16737513,1e-04,-0.27764747
0.0708271,1e-04,-0.16712312
0.08300964,1e-04,-0.18411209
0.23015147,1e-04,-0.3301141
0.12754132,1e-04,-0.2377111
0.081440434,1e-04,-0.18199195
0.09305717,1e-04,-0.19725905
0.19344012,1e-04,-0.30077976
0.22070572,1e-04,-0.32289577
0.069282815,1e-04,-0.16487691
0.08887191,1e-04,-0.19186963
0.0037914752,1e-04,-0.02532119
0.22493885,1e-04,-0.32615745
0.2176491,1e-04,-0.320513
0.074292116,1e-04,-0.1720836
0.034196515,1e-04,-0.10597652
0.13188086,1e-04,-0.24237403
0.14005654,1e-04,-0.25093612
0.045058846,1e-04,-0.12617044
0.2092182,1e-04,-0.3138178
0.24907492,1e-04,-0.34394675
0.19260448,1e-04,-0.3000699
0.15302749,1e-04,-0.26396352
0.23959032,1e-04,-0.33711556
0.19725047,1e-04,-0.3039913
0.24633916,1e-04,-0.34199688
0.053960856,1e-04,-0.14124633
0.2341523,1e-04,-0.3331071
0.14436106,1e-04,-0.25533256
0.042191178,1e-04,-0.12105338
0.17460243,1e-04,-0.28427446
0.018589096,1e-04,-0.07167752
0.13783279,1e-04,-0.24863525
0.13280407,1e-04,-0.24335523
0.21928921,1e-04,-0.32179445
0.093581416,1e-04,-0.1979258
0.2305178,1e-04,-0.3303897
0.14597712,1e-04,-0.25696403
0.063069776,1e-04,-0.15560392
0.2117285,1e-04,-0.31583047
0.20112957,1e-04,-0.30721903
0.08825845,1e-04,-0.1910695
0.08852477,1e-04,-0.19141719
0.20110357,1e-04,-0.30719754
0.1589044,1e-04,-0.26965663
0.11468797,1e-04,-0.22338025
0.04772545,1e-04,-0.13080852
0.010864189,1e-04,-0.050557125
0.19625315,1e-04,-0.30315465
0.15910545,1e-04,-0.26984915
0.014733726,1e-04,-0.06165343
0.011295807,1e-04,-0.05185915
0.22824073,1e-04,-0.3286713
0.13289814,1e-04,-0.243455
0.19165798,1e-04,-0.29926348
0.17766131,1e-04,-0.28702843
0.18787359,1e-04,-0.29601318
0.2313878,1e-04,-0.331043
0.22096753,1e-04,-0.32309878
0.06250631,1e-04,-0.15474327
0.20932998,1e-04,-0.31390777
0.103280805,1e-04,-0.20994644
0.12022345,1e-04,-0.22965084
0.04774511,1e-04,-0.1308423
0.09132567,1e-04,-0.19504388
0.06936562,1e-04,-0.16499794
0.122257546,1e-04,-0.23191687
0.23212539,1e-04,-0.33159548
0.06388325,1e-04,-0.15684047
0.20197469,1e-04,-0.30791673
0.049564775,1e-04,-0.13394457
0.07481688,1e-04,-0.17282555
0.010078681,1e-04,-0.048138436
0.025459358,1e-04,-0.08777465
0.1495748,1e-04,-0.2605594
0.20149596,1e-04,-0.30752176
0.2023486,1e-04,-0.3082248
0.056588124,1e-04,-0.14548878
0.23466109,1e-04,-0.33348504
0.24605736,1e-04,-0.3417951
