x,sdf,area,ode
0.61677825,0.38322172,1e-04,-0.0009932518
0.7714621,0.2285379,1e-04,0.0019269586
0.78814405,0.21185593,1e-04,0.0022753477
0.53045547,0.46954453,1e-04,0.0030807853
0.06278196,0.06278196,1e-04,-0.03141451
0.7130146,0.28698537,1e-04,-0.00012671947
0.2182409,0.2182409,1e-04,0.004881382
0.23961948,0.23961948,1e-04,0.008011878
0.4878055,0.4878055,1e-04,0.004237354
0.892662,0.107338026,1e-04,0.0002091527
0.6864379,0.31356212,1e-04,-0.000977993
0.8182078,0.1817922,1e-04,0.0024014115
0.048491124,0.048491124,1e-04,0.034056902
0.4190963,0.4190963,1e-04,0.0015023947
0.8205625,0.17943755,1e-04,0.0023813844
0.45165032,0.45165032,1e-04,0.0034948587
0.1478276,0.1478276,1e-04,-0.00080895424
0.69592637,0.3040736,1e-04,-0.00070786476
0.057090964,0.057090964,1e-04,-0.020092487
0.82810295,0.17189707,1e-04,0.0022889376
0.3217717,0.3217717,1e-04,-0.00031769276
0.38125625,0.38125625,1e-04,-0.0011504889
0.8490644,0.15093558,1e-04,0.0018164515
0.48536405,0.48536405,1e-04,0.0042423606
0.26503772,0.26503772,1e-04,0.007297516
0.92492104,0.075078934,1e-04,-0.0006920099
0.49968138,0.49968138,1e-04,0.004106581
0.47930387,0.47930387,1e-04,0.00422132
0.33749,0.33749,1e-04,-0.0015044212
0.42335144,0.42335144,1e-04,0.0018093586
0.3363466,0.3363466,1e-04,-0.00144279
0.38420233,0.38420233,1e-04,-0.0009819269
0.48904967,0.48904967,1e-04,0.0042321086
0.0050972844,0.0050972844,1e-04,6.8016243
0.9574368,0.042563174,1e-04,-0.00012457371
0.9032618,0.096738234,1e-04,-0.00017118454
0.9473683,0.052631654,1e-04,-0.0005413294
0.4540965,0.4540965,1e-04,0.003599763
0.38467267,0.38467267,1e-04,-0.00095283985
0.5159851,0.48401493,1e-04,0.0036677718
0.6276162,0.37238374,1e-04,-0.0012515783
0.93232536,0.067674614,1e-04,-0.00074112415
0.0482706,0.0482706,1e-04,0.03609228
0.11095509,0.11095509,1e-04,0.023179531
0.53726333,0.46273667,1e-04,0.002756238
0.547263,0.45273694,1e-04,0.002244711
0.02491387,0.02491387,1e-04,0.06250095
0.7493048,0.25069523,1e-04,0.0012359619
0.8804327,0.11956725,1e-04,0.00068843365
0.5024287,0.4975713,1e-04,0.0040519238
0.029537097,0.029537097,1e-04,0.16331148
0.3317308,0.3317308,1e-04,-0.0011558533
0.73072386,0.26927614,1e-04,0.00054371357
0.3473415,0.3473415,1e-04,-0.001863122
0.19554648,0.19554648,1e-04,-0.0014867783
0.21327436,0.21327436,1e-04,0.0036645532
0.34597757,0.34597757,1e-04,-0.0018310547
0.642627,0.357373,1e-04,-0.0014470816
0.18140204,0.18140204,1e-04,-0.005149722
0.25619322,0.25619322,1e-04,0.007999897
0.97543466,0.024565356,1e-04,0.001349926
0.45822126,0.45822126,1e-04,0.003759563
0.8111857,0.18881431,1e-04,0.0024343133
0.7724967,0.2275033,1e-04,0.0019532442
0.5659457,0.4340543,1e-04,0.0012376308
0.57858044,0.42141956,1e-04,0.0005720258
0.85399413,0.14600584,1e-04,0.0016651154
0.769862,0.230138,1e-04,0.0018844008
0.640521,0.35947904,1e-04,-0.0014309883
0.8453636,0.15463638,1e-04,0.0019212961
0.5384728,0.46152726,1e-04,0.0026969314
0.30445114,0.30445114,1e-04,0.001775384
0.025028609,0.025028609,1e-04,0.06623411
0.93886614,0.061133884,1e-04,-0.00070858
0.6171658,0.38283423,1e-04,-0.0010043383
